dept,courseNumber,courseType,numberOfMeetings,meetingLengthHours,isTba,numberEnrolled,cantOverlap,shouldntOverlap,dataNumber,timeMinPweek
MS&E,MS&E 223,LEC,3,1.5,FALSE,39,,,188,240
MS&E,MS&E 230,LEC,2,1.5,FALSE,26,,,189,160
MS&E,MS&E 240,LEC,2,2,FALSE,31,,,190,220
MS&E,MS&E 243,LEC,2,1.5,FALSE,8,,,191,160
MS&E,MS&E 245B,LEC,2,1.5,FALSE,46,,,192,160
MS&E,MS&E 250B,WKS,1,2,FALSE,6,,,193,110
MS&E,MS&E 254,LEC,1,3,FALSE,41,,,194,170
MS&E,MS&E 256,LEC,1,2,FALSE,20,,,195,110
MS&E,MS&E 256A,COL,1,2,FALSE,19,,,196,110
MS&E,MS&E 272,LEC,2,2,FALSE,7,,,197,220
MS&E,MS&E 274,LEC,2,1.5,FALSE,50,,,198,160
MS&E,MS&E 276,LEC,1,3,FALSE,56,,,199,170
MS&E,MS&E 277,WKS,1,3,FALSE,51,,199,200,170
MS&E,MS&E 280,LEC,2,2,FALSE,51,,,201,220
MS&E,MS&E 297,LEC,1,3,FALSE,33,,,202,170
MS&E,MS&E 321,LEC,3,1.5,FALSE,7,,,203,240
MS&E,MS&E 324,LEC,3,1.5,FALSE,6,,,204,240
MS&E,MS&E 338,LEC,3,2,FALSE,21,,,205,330
MS&E,MS&E 350,WKS,1,3,FALSE,3,,,206,170
MS&E,MS&E 370,RES,1,3,FALSE,6,,,207,170
MS&E,MS&E 394,LEC,2,1.5,FALSE,5,,,208,160
MS&E,MS&E 433,SEM,1,2,FALSE,14,,,209,110
MS&E,MS&E 441,,1,1.5,FALSE,0,,,210,80
MS&E,MS&E 448,WKS,1,3,FALSE,28,,,211,170
MS&E,MS&E 463,WKS,2,1.5,FALSE,20,,,212,160
MS&E,MS&E 472,COL,1,1,FALSE,301,,,213,50
MS&E,MS&E 494,SEM,1,1,FALSE,6,,,214,50
ME,ME 110B,LEC,1,1.5,FALSE,15,,,215,80
ME,ME 203,LEC,2,3,FALSE,13,,,216,340
ME,ME 206B,LEC,2,2,FALSE,24,,,217,220
ME,ME 206B,LEC,1,2,FALSE,24,217,,218,120
ME,ME 216M,LEC,2,2,FALSE,20,,,219,220
ME,ME 218C,LEC,2,3,FALSE,24,,,220,340
ME,ME 220,LEC,2,2,FALSE,45,,,221,220
ME,ME 225,LEC,1,3,FALSE,27,,,222,170
ME,ME 227,LEC,2,1.5,FALSE,60,,222,223,160
ME,ME 236,LEC,1,3,FALSE,8,,,224,170
ME,ME 257,LEC,3,2,FALSE,5,,,225,330
ME,ME 265,LEC,2,2,FALSE,13,,,226,220
ME,ME 283,LEC,2,1.5,FALSE,45,,,227,160
ME,ME 300C,LEC,2,1.5,FALSE,37,,,228,160
ME,ME 301,WKS,2,2,FALSE,17,,,229,220
ME,ME 304D,SEM,1,1.5,FALSE,17,,,230,80
ME,ME 310C,LAB,2,1.5,FALSE,23,,,231,160
ME,ME 316C,WKS,2,1.5,FALSE,13,,,232,160
ME,ME 318,LAB,1,1.5,FALSE,7,,,233,80
ME,ME 321,LEC,1,3,FALSE,15,,,234,170
ME,ME 324,LEC,2,1.5,FALSE,24,,,235,160
ME,ME 325,LEC,1,1.5,FALSE,24,,,236,80
ME,ME 327,LEC,2,1.5,FALSE,65,,,237,160
ME,ME 334,LEC,3,1,FALSE,23,,,238,150
ME,ME 338,LEC,3,1.5,FALSE,11,,,239,240
ME,ME 343,LEC,3,1.5,FALSE,14,,,240,240
ME,ME 346A,LEC,3,2,FALSE,27,,,241,330
ME,ME 352C,LEC,3,1,FALSE,11,,,242,150
ME,ME 354,LEC,2,1.5,FALSE,13,,,243,160
ME,ME 356,LEC,2,1.5,FALSE,16,,,244,160
ME,ME 357,LEC,3,2,FALSE,1,,,245,330
ME,ME 361,LEC,2,1.5,FALSE,24,,,246,160
ME,ME 361,DIS,1,1.5,FALSE,16,246,,247,80
ME,ME 368B,LEC,1,2,FALSE,6,,,248,110
ME,ME 368B,LEC,1,2,FALSE,6,248,,249,110
ME,ME 372,LEC,3,1,FALSE,10,,,250,150
ME,ME 378,LEC,1,2,FALSE,8,,,251,110
ME,ME 397,RES,1,1.5,FALSE,3,,,252,80
ME,ME 410C,LEC,1,3,FALSE,8,,,253,170
ME,ME 485,LEC,2,1.5,FALSE,9,,,254,160
AA,AA 109Q,ISS,3,1.5,FALSE,17,,,255,240
AA,AA 119N,ISF,2,1,FALSE,12,,,256,100
AA,AA 146B,LAB,2,1.5,FALSE,3,,,257,160
AA,AA 173,LEC,2,1,FALSE,11,255,256,258,100
BIOE,BIOE 32Q,ISS,1,3,FALSE,19,,,259,170
BIOE,BIOE 42,LEC,2,1.5,FALSE,50,,,260,160
BIOE,BIOE 51,LBS,2,1.5,FALSE,47,,,261,160
BIOE,BIOE 51,LBS,2,1.5,FALSE,19,261,,262,160
